AAVE Sentence,Predicted SAE Translation,Target SAE Translation,BLEU Score
ooh [UNK] dont be talking about that,the get about that,dont talk about that,0.16821895003341453
um i remember one time,remember your time,remember one time,0.08621454270909737
and what do you all do you all do anything like big you have family [UNK] or family [UNK],what do you to all you do do to have some roots or have your to,what do [UNK] you do any big [UNK] you have family [UNK] or family [UNK],0.05924430086245036
your [UNK] family like in your [UNK] at that time,tossed family in your feet at that time,immediate family in your household at that time,0.2776320934560912
so after the test we had did it,after the world we had their,after the test we did it,0.10754421249521595
ive i dont know the rest,wouldnt not know the answer thing,did not know the other artists,0.23376641384792204
you gotta deal with all the [UNK] right pretty much,have to to hop with all of church on without day,have got to deal with all the [UNK] right pretty much,0.061729293904138435
and he said he made his first,said he his neighborhood,said in his first year,0.056526248548690414
im a cool person like im not,a good person like im not,a cool person and [UNK] to,0.044706344276931285
and see how they is now,see and are now,where they are now,0.16821895003341453
then when thats like,when thats,when,0.06754436142034707
everybody think im not over him im really over him,im im not over him im really over him,thinks im not over him im really over him,0.8633400213704505
we was over my uh,were over my uh,lived above my uh,0.16821895003341453
in everything you do dont never give up on something,los you do not give give up on something,everything you do dont ever give up on something,0.3549481056010053
a little girl live upstairs from me name,little girl culture were from me,little girl that lives upstairs from me whos name is,0.07055853779523806
oh we did okay so back to back to high school back to high okay,we did okay so back to back school i to high something,we did okay so back to high school back to high okay,0.49616830003403634
outside or something,when something,or something like that,0.02484818193359921
the monday night tuesday night movies like if anything be on good,the the the the the like if,if anything is on thats good,0.03235934848975789
no they all for like special events like thanksgiving,they kids of all different neighborhood self,the [UNK] are for special events like thanksgiving,0.0
they try to get it out his mouth,try to get it out food of house,try to get the watch out of his mouth,0.16552841185194125
frequent rochester cause home like,great because,rochester because home like,0.02484818193359921
few boys few girl,few after of without little into,few boys and a few girls,0.03759340464156993
cause clearly theres something going on with rdname2 and his birthday,coach there something going on with that and his birthday,clearly theres something going on with rdname2 and his birthday,0.37991784282579627
yeah for me thats important some people like,for me that know people people like,for me thats important some people like,0.1158794880657409
its weird cause im st even today like i have friends,why because im young i had i have,weird because im st even today like i have friends,0.07844900051649088
shes like yeah this is,says yes and is,like yes this is,0.07258113984652705
we [UNK] we friends but youre not my friend no more for what you did,sorry we our we youre not my friend any than what what you did,[UNK] were friends but youre not my friend any more for what you did,0.35556702356686953
i dance in the summer time with her when when its,was in the summer or her when when its,dance in the summer with her when when its,0.43167001068522526
come back the next day and its all good,back to next day and its its all,back the next day and everything is ok,0.17739111163122614
like whats your [UNK] like you get the youth involved or,is your preferred like you get the youth at,is your role do you get the youth involved or,0.31762152032055835
its the stuff he can see but then its the people thats just way too strong thats like on they on the [UNK] side thats like,the stuff he can see but then it the people that just the to is is on they their side stores thats like,the stuff he can see but then its the people thats just way too strong thats like on the on the [UNK] side thats like,0.2988395825441795
cause my,my,my,1.0
he talking [UNK],is talk,is talking about [UNK],0.02484818193359921
you had them hands,had had kinds,had those hands,0.07249749990681824
but its [UNK] we just in there,its where to just in in in,its [UNK] we are just there,0.03848196746087264
he dont have um,does have to,doesnt have,0.07249749990681824
thats when all the kids in the neighborhood um come to our church and um,when when all the the kids in the neighborhood come to to our neighborhood and,is when all of the kids in the neighborhood um come to our church and um,0.3223825715147423
and do you see that [UNK] like people are just in fear,you see that more would in just in texas,you see this often people are just in fear,0.08939367162920239
today i got up six thirty i thought it was seven thirty,i have up involved him and and thought it was no hair,i got up at six thirty i thought it was seven thirty,0.12026061194250894
his [UNK] dont have nothing to do with me listening to what,momma dont have anything to do with me else to what,actions dont have anything to do with me listening to what,0.6315552371794037
how long was you dating rdname2,long were you meet rdname2,long were you dating rdname2,0.32184424080043433
i guess it cause i never had the opportunity to be the new kid,guess it i i had had the opportunity to be the new person,guess its because i never had the opportunity to be the new kid,0.5008718428920987
but somebody uh one of the [UNK] maintenance men took him,somebody uh of the creations authentic man and up,somebody one of the dumb maintenance men led him,0.0699543285114998
yeah whats your take on that some people think theres theres,youre your ancestry birthday that some people think there there,whats your take on that some people think theres theres,0.2777619034011791
wow cause you felt like,because you felt like,because you felt like,1.0
you know what im saying til they start talking to you,somebody they start talking to you start,until they start talking with you,0.20748340713083765
