AAVE Sentence,Predicted SAE Translation,Target SAE Translation,BLEU Score
ooh [UNK] dont be talking about that,times act to that,dont talk about that,0.061033220311973134
um i remember one time,remember that,remember one time,0.04096772609215166
and what do you all do you all do anything like big you have family [UNK] or family [UNK],what do you you all you or you you have to anything anything sheets,what do [UNK] you do any big [UNK] you have family [UNK] or family [UNK],0.06012842951720716
your [UNK] family like in your [UNK] at that time,family other was your face show that,immediate family in your household at that time,0.036917987119846896
so after the test we had did it,after the the we had it was,after the test we did it,0.09744264611591712
ive i dont know the rest,dont not know the dollar,did not know the other artists,0.24521789586759227
right around [UNK],around,[UNK],0.0
you gotta deal with all the [UNK] right pretty much,have to been deal with all the hand,have got to deal with all the [UNK] right pretty much,0.2629588998147059
and he said he made his first,said he his and,said in his first year,0.056526248548690414
im a cool person like im not,a good person im im,a cool person and [UNK] to,0.0444463871528882
and see how they is now,see they are not,where they are now,0.16821895003341453
then when thats like,when if,when,0.06754436142034707
everybody think im not over him im really over him,think im not over him but not not him,thinks im not over him im really over him,0.3155984539112945
we was over my uh,were over my own,lived above my uh,0.061033220311973134
in everything you do dont never give up on something,southand you do not have tell up up the,everything you do dont ever give up on something,0.0699543285114998
a little girl live upstairs from me name,little girl in is with two,little girl that lives upstairs from me whos name is,0.055215039747922655
oh we did okay so back to back to high school back to high okay,we did okay so to to school school to high school,we did okay so back to high school back to high okay,0.3203558799120807
outside or something,or something something,or something like that,0.15174681566793558
the monday night tuesday night movies like if anything be on good,oh he he he the like its,if anything is on thats good,0.0
no they all for like special events like thanksgiving,they other not not that too everybody,the [UNK] are for special events like thanksgiving,0.0
they try to get it out his mouth,bring to get to out out it head,try to get the watch out of his mouth,0.0695635988471652
frequent rochester cause home like,because yes,rochester because home like,0.02484818193359921
few boys few girl,little dollars little city part,few boys and a few girls,0.0
cause clearly theres something going on with rdname2 and his birthday,shes shes the going on people everything and his birthday,clearly theres something going on with rdname2 and his birthday,0.16179649260725834
yeah for me thats important some people like,for me that pretty as people like,for me thats important some people like,0.1158794880657409
its weird cause im st even today like i have friends,because because im like because everything because i have friends,weird because im st even today like i have friends,0.16934189459315158
shes like yeah this is,says this this is,like yes this is,0.16821895003341453
we [UNK] we friends but youre not my friend no more for what you did,we we not but youre not my friend because more thing you,[UNK] were friends but youre not my friend any more for what you did,0.29190450436614646
i dance in the summer time with her when when its,watchin in the military with when when when she,dance in the summer with her when when its,0.09452229951416066
come back the next day and its all good,back there day day and all is off,back the next day and everything is ok,0.0847039252508118
like whats your [UNK] like you get the youth involved or,are your your subject that get the dollar when,is your role do you get the youth involved or,0.06259788353343847
its the stuff he can see but then its the people thats just way too strong thats like on they on the [UNK] side thats like,the issue like can see but the the the same that really far that sign the ball another other like,the stuff he can see but then its the people thats just way too strong thats like on the on the [UNK] side thats like,0.06426788376818877
[UNK] okay,the,okay,0.0
cause my,my,my,1.0
he talking [UNK],is talk about,is talking about [UNK],0.06177541927786947
you had them hands,had them young,had those hands,0.07249749990681824
but its [UNK] we just in there,its living we are in in in,its [UNK] we are just there,0.09068059995923879
he dont have um,doesnt have,doesnt have,0.2213885886251307
thats when all the kids in the neighborhood um come to our church and um,is the the the the kids could the neighborhood they to off the other and,is when all of the kids in the neighborhood um come to our church and um,0.05885914196053045
and do you see that [UNK] like people are just in fear,you see that especially are are in in,you see this often people are just in fear,0.07475095167059852
today i got up six thirty i thought it was seven thirty,i got up right greensboro since a was it was fucking,i got up at six thirty i thought it was seven thirty,0.1332961959980944
his [UNK] dont have nothing to do with me listening to what,momma on have got to do with me it to do,actions dont have anything to do with me listening to what,0.2596535889340338
how long was you dating rdname2,long have you going because are,long were you dating rdname2,0.044706344276931285
i guess it cause i never had the opportunity to be the new kid,guess it because i had had the opportunity to the the kids,guess its because i never had the opportunity to be the new kid,0.24925832743644716
but somebody uh one of the [UNK] maintenance men took him,somebody might of the ball class could could him,somebody one of the dumb maintenance men led him,0.07517081801936397
yeah whats your take on that some people think theres theres,whats your ancestry your that people people think there there,whats your take on that some people think theres theres,0.08516138411042476
wow cause you felt like,because you mean like,because you felt like,0.18616487055295167
you know what im saying til they start talking to you,when they are to to you,until they start talking with you,0.044706344276931285
or i dont believe with the whole colin kaepernick thing you gotta remember he is his own person for one,i dont not you the fuck day name is you still my my forever no safe thing,i dont believe with the whole colin kaepernick thing youve got to remember he is his own person for one,0.036290035169650514
different attitudes cause you know a lot of people come in here they got attitudes about they [UNK],because because you know a lot of kids are here here they are to white kids,[UNK] because you know a lot of people come in here they have attitudes about their [UNK],0.3183402538920743
tryna get into some football some sports,get get into some mischief things things,to get into some football some sports,0.19308506685901675
so they dont beef in the club but they beef when they leave,they dont even in the bathroom but they would when they leave,they dont [UNK] in the club but they [UNK] when they leave,0.17515661267572666
ima work until [UNK] and then do it,am not to work past and do do then it,am going to work up to [UNK] and then [UNK] it,0.06781895221027241
my mother say we might dont go,mother was we will go go,mother says we might not go,0.049475702907177795
d either you gonna get shot or you gonna get stabbed,for man going yes you you party,up getting either shot or stabbed during a fight,0.0
man i dont even wanna speak on that donald trump is your president obama is my president okay,dont not even to be on that is is the neighborhood or is at safe or,do not want to speak about that donald trump is your president obama is my president okay,0.022075981989234023
it was like all,was not like,was all,0.07249749990681824
u well like i mean if im gon,like i mean if you saying,like i mean if im,0.5081327481546147
like when you leave in the morning and then you come back and like,when you leave the the bathroom and then you moved back and said,when you leave in the morning and then you come back and,0.19151421080811973
and i was just trying em,i thought just,i was just tasting them,0.044264022136417135
did she ever give you your dollar back,she ever you in dog,she give you your dollar back,0.0444463871528882
its just like how dc changed over time,are how how the,dc changed over time,0.0
so like your first year,my your songs time,during your first year,0.061033220311973134
i jump in it,jumped in in,jumped into it,0.07249749990681824
we was going to get our hair fix,were going to get into old for,were going to get our hair done,0.41113361690051975
yeah thats what im saying its stores like right across the street or,that im am its you like like the the street from,what i mean are there stores right across the street or,0.05190794196013298
going to the plays okay rdname2 lets go to the play you supposed to say when,to the same the hey is go to the phone you you to dress,to the plays okay rdname2 lets go to the play youre supposed to say when,0.11040734546985215
had such bad times with teachers um what kind of teacher are you gonna be,already miss with with their what what can of impact are you going to,such bad times with teachers um what kind of teacher are you going to be,0.19038378572213252
no cause valdosta yeah,because because because,because valdosta yeah,0.07249749990681824
and it was like oh you live right across the street,it are like you are around the the street,we realized oh you live right across the street,0.0699543285114998
fucking watch where you going,is you phone,attention to your surroundings,0.0
um i really appreciate you taking the time out to talk to me,really have you are the time to of me to me,really appreciate you taking the time out to talk to me,0.08443224175832133
its like [UNK] houses i actually [UNK] ended up writing a [UNK] literally like [UNK] on my street,are funny odd though know its is up five an a on my my my,are [UNK] houses i actually [UNK] ended up writing a [UNK] literally like [UNK] on my street,0.04256684415870894
dont havent you realized that,long all when,you realized that,0.0
but you cant do that cause most of the time its a lot of [UNK] sitting around a lot of a lot of [UNK] and,you cant do that because of of the time its a lot of the in in lot of,you cant do that because most of the times its a lot of dudes sitting around a lot of [UNK] and,0.3328156190098997
so its just like as the as,its just the the youth,it is as the as,0.0456496931223525
had a lot going for [UNK] and,a lot of been been and,a lot going for himself and,0.10754421249521595
and at the end youll have um,at the end of have um,at the end youll have,0.25119835939119545
that something that you can do,that can do you,you can do,0.18616487055295167
but then the same thing i see about the obamacare now,then same thing i see about the the i,the same thing i see about obamacare now,0.4671379777282001
and but then i got into oh this is how they say it in the south and this is how they say it in the north and the [UNK] and the,but when i got into this girl how they say it is the side and the is the the say it was the the the,but then i got into this is how they say it in the south and this is how they say it in the north and the [UNK] and the,0.21149522220210268
get rochester rochester dont got nothing for me,rid dont dont have or to real,rochester rochester doesnt have anything for me,0.03235934848975789
theyre just being scared,being,being scared,0.36787944117144233
like i feel as though,feel safe things,feel as though,0.07249749990681824
what got you into cheerleading,were you guys into,got you started into cheerleading,0.056526248548690414
we dont take it no more we take science [UNK] of family living i got a b,dont like not we the other order friends played a of in the a got a,living is no longer a course at my school we have science instead of family living i got a b,0.03566838538930906
yeah we aint we dont like rdname2 whispered,we would we dont like rdname2,we didnt we dont like rdname2 whispered,0.4548019047027907
so cause you just told me a whole lot of stuff that i didnt know cause i dont really ive seen you and we went on this college tour together,because you just had me a lot lot of stuff but i did know how i dont really want to and could we will on this program,because you just told me a whole lot of stuff that i didnt know because i dont really ive seen you and we went on this college tour together,0.1241264730194748
yeah yeah,understand,understand,1.0
and dont tell nobody that you [UNK] for the [UNK] team,doesnt do anyone that you are for the food,dont tell anyone that you [UNK] for the [UNK] team,0.1625889542260942
white and black its like other [UNK] and other [UNK] that feel like you gonna do something,black stuff people other is your and and other other is is are you do not to do,and black the issue is other [UNK] and other races that feel like you are going to do something bad,0.05196832784950545
no [UNK] you got yeah [UNK] and the ages stop at eighteen,you are have yes have always say on the at at at end,teenagers you [UNK] you have to be a [UNK] up to the age of [UNK],0.02112871360905264
absolutely our football team was great but whether they won or l lost,the class has have really but they they are,our football team was great but whether they [UNK] or lost,0.024503916662321008
and so here we got a federal [UNK] says oh,so here have a new iphone,here we have a federal [UNK] that says oh,0.06522886215299896
cause my dad in the middle,my mother in the neighborhood class,my dad in the middle,0.10754421249521595
or your neighborhood [UNK] like,your the neighborhood,in your neighborhood may cause you to [UNK],0.01628382372754549
your crib from the school,mother for the neighborhood,house from the school,0.061033220311973134
its like its big its bigger than us,like it its hanging until us,likeits big its larger than us,0.044706344276931285
you know how they have like the [UNK] on amazon its gonna be like [UNK] thousand like its gonna be like no ones gonna look at it,know how they are the the food its will will going to be like its and its going to be like to be at it,know how they have like the [UNK] on amazon its going to be like [UNK] thousand like its going to be like no ones going to look at it,0.2765132641839365
i didnt even understand what the hell [UNK] was talking about,did even work what the the the about,didnt even understand what [UNK] was talking about,0.03763921292692165
and what make me mad about that because they dont try to,what make me much until that because they dont try to,what makes me mad about that because they dont try,0.38163309113713373
talk about boys,about,about friends,0.36787944117144233
few other girls they have,did friends meeting family,have a few other girls,0.0
that shit gonna be crazy,that to be involved,going to be crazy,0.16821895003341453
e [UNK] up with some science,somebody with,up with science,0.04096772609215166
they didnt end up giving me a [UNK],the end they didnt come up up problem,the end they didnt give me a [UNK],0.345720784641941
oh yeah yeah they did get married when we got out of high school,yes they they did get off when we have out of school school,yes yes they did get married when we got out of high school,0.16104361333869208
like they got a [UNK] out here,are a gun out bring,have a [UNK] to dissect,0.0456496931223525
crackheads you see people [UNK],people people people,and people [UNK],0.07249749990681824
stupid games real stupid games,games do play enough,games really stupid games,0.061033220311973134
like i think its gonna be a a lot easier for me i could take [UNK] of a lot of situations,i think its going to be a lot lot more i me i could take take of lot,i think its going to be a a lot easier for me i could take advantage of a lot of situations,0.4302129105744187
even she know how to [UNK] her class,she needs how to go her,she knows how to [UNK] her class,0.09782262536517172
bruh what the fuck you got going on,do the going anything,are you doing,0.0
s [UNK] aks [UNK] and [UNK],serious seeing and its,as [UNK] and [UNK],0.061033220311973134
somebody was gonna get killed,was going to get,was going to get killing to get killed,0.36787944117144233
whyd you like it better,said you like it,did you like it better,0.33602782883534926
[UNK] all the schools up,the the the schools were,all of the schools [UNK],0.12121093525642128
and if you wanna knock out some days you have to clean out the [UNK],if you want to tell your more you your have to do more garbage,if you wanted to earn some days back you had to clean out the [UNK],0.04830888906063467
it was four of us and my father kind of left when i was three,are in of my and my father kind of the when i was reading three,were four of us and my father kind of left when i was three,0.34791594751284466
yeah ima come home,theres will going to tell home the,i am going to return to home,0.09068059995923879
they be like,players might like,attitude would be like,0.05194672862155564
if you got oil they gonna take it if you got [UNK] they gonna take it,you have to different going to keep it if you have a highsmith going to take it,you have oil theyre going to take it if you have [UNK] theyre going to take it,0.3405204944353418
you thought i had been [UNK] with something no my bike cause i thought would never,thought i been with had started with with mumbo because i senior i i would we have never,would have thought i had been attacked with something no my bike because i thought i would never,0.06582102961542448
uh okay im talking too much whispered,im thinking about much much,im talking too much whispered,0.05428693985879238
could you uh could you tell me a one of the funny episodes on on [UNK] [UNK] [UNK],you could you pick of the books the the street its on,you tell me one of the [UNK] episodes on the [UNK] [UNK],0.06003934299439418
you think [UNK] wanna come in,think think to want come one take in,you think [UNK] would like to come in,0.040445966468773985
and i just kind of uh we just stayed there like me and my mama stayed there,i just kind of that just put me and my mother went back,i just kind of we just stayed there like me and my mama stayed there,0.24794277351227223
we hear o everybody on the on the [UNK] talking about some i did it on my own i did it my own self made,were we everybody on the food the kids are about my i did not my my family growing out,hear o everybody on the on the [UNK] talking about how i did it on my own im self made,0.08857213089518157
um i liked that camp brown,i knew that,i liked camp brown,0.05194672862155564
and it had a um,it had a,it had a,0.5757197301274735
ts she work at a hospital,is at my ride,works at a hospital,0.061033220311973134
to knock off some days but,come some trouble but,earn some days back but,0.056526248548690414
and [UNK] me to like the,me me to the,[UNK] me to the,0.43146827293898643
the other question i wanna ask you is okay so now weve,other thing i want to ask you okay so so now,other question i want to ask you is okay so now weve,0.41065171472719325
cause you really wanted to be a [UNK] huh,you think want to be a a,you really wanted to be [UNK] huh,0.09068059995923879
whered you go to middle [UNK],did you go to to,did you go for middle school,0.24521789586759227
im allowed to go in other neighborhoods because my [UNK] mostly,trying to go in the other because my sister,allowed to go into other neighborhoods because my family is,0.08458226992097476
i know im thinking on this stuff right now laughing,know im thinking hes this this at here,know im thinking on these things right now laughing,0.14568349804366415
but thats cool man but when uh um next time you think yall having a family [UNK],thats is good that when i when first thing you all paying you a a long actually,that is okay but when is the next time you are thinking of having a family reunion,0.022334817779502403
little crazy cough,usually good girl,a little crazy cough,0.0
my mom luckily was like in the kitchen and the kitchen is like right by the door so she saw the [UNK] lights,mom was was in the military the the mothers the the the the street so she would the back,mom luckily was in the kitchen and the kitchen is right by the door so she saw the [UNK] lights,0.09121898254186778
cause i think theyll be one the best years of your life,i think about will the the the line of of your,i think they be one of the best years of your life,0.07418059396767021
but you still with him,still still friends him,you are still with him,0.056526248548690414
[UNK] in a [UNK] is okay like,a a a,sex is okay,0.0
he still need a ride,still needs a ride,still needs a ride,1.0
and when was that,were were that,long has that been,0.05194672862155564
than it was to love him,it him me,to love him,0.07249749990681824
um at a [UNK] [UNK] and youll learn you know stuff like a grade ahead of you im like,a party and and youre bring you know what like a while girlfriend i you because like,a [UNK] [UNK] and youll learn you know stuff like a grade ahead of you im like,0.05790486938978889
i get em [UNK] in the jack daniels sauce put it on my [UNK] [UNK],get them in in the bar head sauce and put him on my paper my,get them tossed in the jack daniels sauce i put it on my [UNK] [UNK],0.07199257271191425
yeah like when when i went to rdschool2 i used to hang out there all the time cause its like right there,like when i i went to rdschool2 i had to hang out there all the the time because its like back,like when when i went to rdschool2 i used to hang out there all of the time because its close by,0.4905824213940644
i have some [UNK] games at home,have a other at at home,have some [UNK] games at home,0.10754421249521595
